Product Name,Categories,Date of Report,Average Position,Clicks,Leads,Money Spent ($),Channel,Location,Prospects,Paid,Paid Date
Omnify,Camp Management,1-Nov-20,1,1,,2,Software Advice,AUSTRALIA,,,
Omnify,Club Management,1-Nov-20,26,1,,2,GetApp,UNITED KINGDOM,,,
Omnify,Coaching,1-Nov-20,11,2,,4,Capterra,UNITED STATES,,,
Omnify,Membership Management,1-Nov-20,8,1,,9.5,Capterra,AUSTRALIA,,,
Omnify,Membership Management,1-Nov-20,9,1,,18,Capterra,UNITED STATES,,,
Omnify,Music School,1-Nov-20,11,1,,2,Capterra,UNITED STATES,,,
Omnify,Reservations,1-Nov-20,15,2,,4,GetApp,AUSTRALIA,,,
Omnify,Reservations,1-Nov-20,10,1,,2,GetApp,SINGAPORE,,,
Omnify,Venue Management,1-Nov-20,8,1,,2,GetApp,CANADA,,,
Omnify,Class Registration,2-Nov-20,13,1,,2,GetApp,UNITED STATES,,,
Omnify,Club Management,2-Nov-20,27,1,,2,Capterra,UNITED KINGDOM,,,
Omnify,Fitness,2-Nov-20,20,1,,2,Capterra,UNITED KINGDOM,,,
Omnify,Membership Management,2-Nov-20,10,6,,108,Capterra,UNITED STATES,,,
Omnify,Parks and Recreation,2-Nov-20,8,1,,9.75,Capterra,UNITED STATES,,,
Omnify,Personal Trainer,2-Nov-20,23,1,,2,GetApp,UNITED STATES,,,
Omnify,Reservations,2-Nov-20,14,1,,2,GetApp,AUSTRALIA,,,
Omnify,Reservations,2-Nov-20,17,2,,4,GetApp,UNITED KINGDOM,,,
Omnify,Reservations,2-Nov-20,10,1,1,2,GetApp,SINGAPORE,1,,
Omnify,Camp Management,3-Nov-20,1,1,,2,Capterra,UNITED KINGDOM,,,
Omnify,Class Registration,3-Nov-20,11,1,,2,Capterra,CANADA,,,
Omnify,Coaching,3-Nov-20,14,1,,2,Capterra,UNITED KINGDOM,,,
Omnify,Membership Management,3-Nov-20,7,1,,9.5,Capterra,AUSTRALIA,,,
Omnify,Membership Management,3-Nov-20,11,2,,36,Capterra,UNITED STATES,,,
Omnify,Music School,3-Nov-20,7,1,,2,Capterra,AUSTRALIA,,,
Omnify,Parks and Recreation,3-Nov-20,5,1,,17,Capterra,UNITED STATES,,,
Omnify,Personal Trainer,3-Nov-20,23,1,,2,GetApp,UNITED STATES,,,
Omnify,Personal Trainer,3-Nov-20,24,1,,2,Capterra,UNITED STATES,,,
Omnify,Reservations,3-Nov-20,16,1,,2,Capterra,AUSTRALIA,,,
Omnify,Reservations,3-Nov-20,29,1,,2,GetApp,UNITED STATES,,,
Omnify,Reservations,3-Nov-20,9,1,,2,GetApp,SINGAPORE,,,
Omnify,Venue Management,3-Nov-20,12,1,,2,Capterra,UNITED STATES,,,
Omnify,Club Management,4-Nov-20,52,1,,2,Capterra,UNITED STATES,,,
Omnify,Coaching,4-Nov-20,13,1,,2,Capterra,CANADA,,,
Omnify,Membership Management,4-Nov-20,5.67,3,,54,Capterra,UNITED STATES,,,
Omnify,Music School,4-Nov-20,10,1,,2,Capterra,UNITED STATES,,,
Omnify,Personal Trainer,4-Nov-20,23,2,,4,Capterra,UNITED STATES,,,
Omnify,Reservations,4-Nov-20,5,1,,5.75,Capterra,AUSTRALIA,,,
Omnify,Reservations,4-Nov-20,29,2,,4,GetApp,UNITED STATES,,,
Omnify,Reservations,4-Nov-20,6,1,,15,Capterra,UNITED STATES,,,
Omnify,Reservations,4-Nov-20,16,1,,2,GetApp,UNITED KINGDOM,,,
Omnify,Reservations,4-Nov-20,8,1,,7.5,Capterra,CANADA,,,
Omnify,Scheduling,4-Nov-20,29,1,,2,GetApp,AUSTRALIA,,,
Omnify,Venue Management,4-Nov-20,3,1,,2,Capterra,UNITED STATES,,,
Omnify,Membership Management,5-Nov-20,14,1,,18,Capterra,UNITED STATES,,,
Omnify,Parks and Recreation,5-Nov-20,6,1,,16.25,Capterra,UNITED STATES,,,
Omnify,Personal Trainer,5-Nov-20,5,1,,2,GetApp,SINGAPORE,,,
Omnify,Personal Trainer,5-Nov-20,25,1,,2,Capterra,UNITED STATES,,,
Omnify,Reservations,5-Nov-20,5,1,,5.75,Capterra,AUSTRALIA,,,
Omnify,Reservations,5-Nov-20,6,2,,30,Capterra,UNITED STATES,,,
Omnify,Reservations,5-Nov-20,9,1,,2,GetApp,SINGAPORE,,,
Omnify,Reservations,5-Nov-20,8,1,,7.5,Capterra,CANADA,,,
Omnify,Scheduling,5-Nov-20,31,1,,2,GetApp,UNITED KINGDOM,,,
Omnify,Swim School,5-Nov-20,7,1,,2,Capterra,UNITED STATES,,,
Omnify,Venue Management,5-Nov-20,6,1,,2,Capterra,AUSTRALIA,,,
Omnify,Yoga Studio,5-Nov-20,9,1,,2,Capterra,SINGAPORE,,,
Omnify,Club Management,6-Nov-20,45,1,,2,GetApp,UNITED STATES,,,
Omnify,Membership Management,6-Nov-20,14,2,,36,Capterra,UNITED STATES,,,
Omnify,Reservations,6-Nov-20,13,1,,2,GetApp,AUSTRALIA,,,
Omnify,Reservations,6-Nov-20,6,2,1,30,Capterra,UNITED STATES,1,,
Omnify,Reservations,6-Nov-20,8,1,,7.5,Capterra,CANADA,,,
Omnify,Scheduling,6-Nov-20,29,1,,2,GetApp,AUSTRALIA,,,
Omnify,Spa,6-Nov-20,22,1,,2,Capterra,CANADA,,,
Omnify,Swim School,6-Nov-20,7,1,,2,Capterra,UNITED STATES,,,
Omnify,Venue Management,6-Nov-20,2,1,,2,GetApp,SINGAPORE,,,
Omnify,Venue Management,6-Nov-20,2,1,,2,Capterra,SINGAPORE,,,
Omnify,Venue Management,6-Nov-20,10,1,,2,GetApp,UNITED STATES,,,
Omnify,Yoga Studio,6-Nov-20,17,1,,2,GetApp,UNITED KINGDOM,,,
Omnify,Club Management,7-Nov-20,45,1,,2,GetApp,UNITED STATES,,,
Omnify,Fitness,7-Nov-20,31,1,,2,GetApp,UNITED STATES,,,
Omnify,Membership Management,7-Nov-20,14,3,,54,Capterra,UNITED STATES,,,
Omnify,Parks and Recreation,7-Nov-20,1,1,,16.25,Capterra,UNITED STATES,,,
Omnify,Reservations,7-Nov-20,1,1,1,15,Capterra,UNITED STATES,1,,
Omnify,Scheduling,7-Nov-20,15,1,,2,GetApp,SINGAPORE,,,
Omnify,Venue Management,7-Nov-20,12,1,,2,Capterra,UNITED STATES,,,
Omnify,Coaching,8-Nov-20,12,1,,2,Capterra,UNITED KINGDOM,,,
Omnify,Membership Management,8-Nov-20,10.67,3,,54,Capterra,UNITED STATES,,,
Omnify,Personal Trainer,8-Nov-20,21,1,,2,GetApp,UNITED STATES,,,
Omnify,Reservations,8-Nov-20,1,1,1,11.5,Capterra,UNITED STATES,,,
Omnify,Reservations,8-Nov-20,5,2,,11.5,Capterra,AUSTRALIA,,,
Omnify,Reservations,8-Nov-20,13,1,,2,GetApp,AUSTRALIA,,,
Omnify,Scheduling,8-Nov-20,47,1,,2,GetApp,UNITED STATES,,,
Omnify,Club Management,8-Nov-20,1,1,1,,Capterra,Middle East,1,,
Omnify,Club Management,9-Nov-20,9,1,,2,Capterra,SINGAPORE,,,
Omnify,Coaching,9-Nov-20,13,1,,2,Capterra,UNITED KINGDOM,,,
Omnify,Coaching,9-Nov-20,9,2,,4,GetApp,UNITED STATES,,,
Omnify,Membership Management,9-Nov-20,7,1,,2,Capterra,AUSTRALIA,,,
Omnify,Membership Management,9-Nov-20,71,1,,2,Capterra,UNITED STATES,,,
Omnify,Music School,9-Nov-20,3,1,,2,Capterra,UNITED STATES,,,
Omnify,Personal Trainer,9-Nov-20,14,1,,2,GetApp,AUSTRALIA,,,
Omnify,Personal Trainer,9-Nov-20,18,1,,2,Software Advice,UNITED KINGDOM,,,
Omnify,Reservations,9-Nov-20,29.5,2,,4,GetApp,UNITED STATES,,,
Omnify,Reservations,9-Nov-20,1,5,,77.5,Capterra,UNITED STATES,,,
Omnify,Scheduling,9-Nov-20,47,1,,2,GetApp,UNITED STATES,,,
Omnify,Venue Management,9-Nov-20,5,1,,2,GetApp,UNITED KINGDOM,,,
Omnify,Venue Management,9-Nov-20,6,1,,2,Capterra,UNITED STATES,,,
Omnify,Camp Management,10-Nov-20,1,2,,4,Software Advice,UNITED STATES,,,
Omnify,Class Registration,10-Nov-20,2,1,,2,Software Advice,UNITED KINGDOM,,,
Omnify,Coaching,10-Nov-20,10,1,,2,Capterra,AUSTRALIA,,,
Omnify,Membership Management,10-Nov-20,54,1,,2,GetApp,UNITED STATES,,,
Omnify,Parks and Recreation,10-Nov-20,6,1,,16.25,Capterra,UNITED STATES,,,
Omnify,Personal Trainer,10-Nov-20,14,1,,2,GetApp,AUSTRALIA,,,
Omnify,Reservations,10-Nov-20,13,1,,2,GetApp,AUSTRALIA,,,
Omnify,Reservations,10-Nov-20,1.5,4,,62,Capterra,UNITED STATES,,,
Omnify,Reservations,10-Nov-20,31,1,,2,GetApp,UNITED STATES,,,
Omnify,Reservations,10-Nov-20,17,1,,2,GetApp,UNITED KINGDOM,,,
Omnify,Reservations,10-Nov-20,4,1,,15,Capterra,CANADA,,,
Omnify,Scheduling,10-Nov-20,15,1,,2,GetApp,SINGAPORE,,,
Omnify,Scheduling,10-Nov-20,14,1,,2,Capterra,UNITED STATES,,,
Omnify,Camp Management,11-Nov-20,7,2,,4,Software Advice,UNITED STATES,,,
Omnify,Membership Management,11-Nov-20,37,1,1,2,Capterra,UNITED KINGDOM,,,
Omnify,Parks and Recreation,11-Nov-20,6,1,,16.25,Capterra,UNITED STATES,,,
Omnify,Personal Trainer,11-Nov-20,21,1,,2,GetApp,UNITED STATES,,,
Omnify,Reservations,11-Nov-20,3,1,,18.75,Capterra,AUSTRALIA,,,
Omnify,Reservations,11-Nov-20,2,1,,15.5,Capterra,UNITED STATES,,,
Omnify,Reservations,11-Nov-20,31,1,,2,GetApp,UNITED STATES,,,
Omnify,Reservations,11-Nov-20,4,2,1,35,Capterra,UNITED KINGDOM,,,
Omnify,Scheduling,11-Nov-20,1,11,,82.5,Capterra,AUSTRALIA,,,
Omnify,Scheduling,11-Nov-20,1,80,1,1460,Capterra,UNITED STATES,,,
Omnify,Scheduling,11-Nov-20,1,34,,314.5,Capterra,UNITED KINGDOM,,,
Omnify,Scheduling,11-Nov-20,31,1,,2,GetApp,UNITED KINGDOM,,,
Omnify,Scheduling,11-Nov-20,1,1,,4.75,Capterra,SINGAPORE,,,
Omnify,Scheduling,11-Nov-20,1,14,,189,Capterra,CANADA,,,
Omnify,Dance Studio,12-Nov-20,23,1,,2,GetApp,CANADA,,,
Omnify,Membership Management,12-Nov-20,3,1,,2.25,GetApp,SINGAPORE,,,
Omnify,Membership Management,12-Nov-20,34,1,,2,GetApp,UNITED KINGDOM,,,
Omnify,Music School,12-Nov-20,16,1,,2,Capterra,UNITED STATES,,,
Omnify,Personal Trainer,12-Nov-20,15,1,,2,GetApp,AUSTRALIA,,,
Omnify,Personal Trainer,12-Nov-20,23,2,,4,GetApp,UNITED STATES,,,
Omnify,Personal Trainer,12-Nov-20,17,1,,2,GetApp,UNITED KINGDOM,,,
Omnify,Personal Trainer,12-Nov-20,24,1,,2,Capterra,CANADA,,,
Omnify,Reservations,12-Nov-20,3,1,,18.75,Capterra,AUSTRALIA,,,
Omnify,Reservations,12-Nov-20,9,3,,12.75,GetApp,UNITED STATES,,,
Omnify,Reservations,12-Nov-20,10,1,,10.25,Capterra,UNITED STATES,,,
Omnify,Reservations,12-Nov-20,21,1,,2,GetApp,UNITED KINGDOM,,,
Omnify,Reservations,12-Nov-20,1,2,,6,Capterra,SINGAPORE,,,
Omnify,Scheduling,12-Nov-20,1,1,,7.75,Capterra,AUSTRALIA,,,
Omnify,Scheduling,12-Nov-20,5,1,,2.5,GetApp,SINGAPORE,,,
Omnify,Scheduling,12-Nov-20,1,1,,7.5,Capterra,UNITED KINGDOM,,,
Omnify,Scheduling,12-Nov-20,33,1,,2.25,GetApp,UNITED STATES,,,
Omnify,Class Registration,13-Nov-20,5,1,,2,Capterra,UNITED KINGDOM,,,
Omnify,Club Management,13-Nov-20,9,1,,2,Capterra,SINGAPORE,,,
Omnify,Membership Management,13-Nov-20,38,1,,2,Capterra,UNITED KINGDOM,,,
Omnify,Membership Management,13-Nov-20,74,1,,7.75,Capterra,UNITED STATES,,,
Omnify,Membership Management,13-Nov-20,21,1,,5.5,GetApp,UNITED STATES,,,
Omnify,Parks and Recreation,13-Nov-20,8,2,,19.5,Capterra,UNITED STATES,,,
Omnify,Personal Trainer,13-Nov-20,23,1,,2,GetApp,UNITED STATES,,,
Omnify,Pilates Studio,13-Nov-20,4,1,,3.5,Capterra,UNITED STATES,,,
Omnify,Reservations,13-Nov-20,1,2,,5,GetApp,SINGAPORE,,,
Omnify,Reservations,13-Nov-20,9,1,,4.25,GetApp,UNITED STATES,,,
Omnify,Reservations,13-Nov-20,10,3,,30.75,Capterra,UNITED STATES,,,
Omnify,Swim School,13-Nov-20,8,1,,2,Capterra,UNITED STATES,,,
Omnify,Membership Management,14-Nov-20,74,1,,7.75,Capterra,UNITED STATES,,,
Omnify,Personal Trainer,14-Nov-20,21,1,,2,GetApp,CANADA,,,
Omnify,Reservations,14-Nov-20,19,1,,2,GetApp,AUSTRALIA,,,
Omnify,Reservations,14-Nov-20,8,1,,10.25,Capterra,UNITED STATES,,,
Omnify,Reservations,14-Nov-20,9,1,,4.25,GetApp,UNITED STATES,,,
Omnify,Yoga Studio,14-Nov-20,8,2,,10,GetApp,UNITED STATES,,,
Omnify,Camp Management,15-Nov-20,14,1,,2,Software Advice,UNITED STATES,,,
Omnify,Class Registration,15-Nov-20,14,1,,2,GetApp,UNITED STATES,,,
Omnify,Coaching,15-Nov-20,11,1,,2,GetApp,UNITED STATES,,,
Omnify,Personal Trainer,15-Nov-20,16,1,,2,GetApp,AUSTRALIA,,,
Omnify,Personal Trainer,15-Nov-20,17,1,,2,GetApp,UNITED KINGDOM,,,
Omnify,Personal Trainer,15-Nov-20,23,1,,2,Capterra,CANADA,,,
Omnify,Personal Trainer,15-Nov-20,21,1,,2,GetApp,CANADA,,,
Omnify,Reservations,15-Nov-20,1,1,,2.5,GetApp,SINGAPORE,,,
Omnify,Reservations,15-Nov-20,8,1,,10.25,Capterra,UNITED STATES,,,
Omnify,Scheduling,15-Nov-20,43,1,,2,GetApp,UNITED KINGDOM,,,
Omnify,Class Registration,16-Nov-20,5,1,,2,Capterra,UNITED KINGDOM,,,
Omnify,Class Registration,16-Nov-20,13,1,,2,Software Advice,UNITED STATES,,,
Omnify,Dance Studio,16-Nov-20,1,3,,6.75,GetApp,SINGAPORE,,,
Omnify,Fitness,16-Nov-20,13,1,,9,Capterra,UNITED STATES,,,
Omnify,Membership Management,16-Nov-20,38,1,,2,Capterra,UNITED KINGDOM,,,
Omnify,Membership Management,16-Nov-20,28,1,1,7.75,Capterra,UNITED STATES,,,
Omnify,Music School,16-Nov-20,6,1,,8,Capterra,UNITED STATES,,,
Omnify,Reservations,16-Nov-20,1,1,,3,Capterra,SINGAPORE,,,
Omnify,Reservations,16-Nov-20,2,1,,2,Capterra,UNITED KINGDOM,,,
Omnify,Reservations,16-Nov-20,21,1,,2,GetApp,UNITED KINGDOM,,,
Omnify,Scheduling,16-Nov-20,42,1,,2,GetApp,UNITED KINGDOM,,,
Omnify,Swim School,16-Nov-20,1,1,,7.5,Capterra,UNITED STATES,,,
Omnify,Venue Management,16-Nov-20,11,1,,2,Capterra,CANADA,,,
Omnify,Venue Management,16-Nov-20,1,1,,2,GetApp,UNITED STATES,,,
Omnify,Class Registration,17-Nov-20,3,1,,2,Capterra,SINGAPORE,,,
Omnify,Club Management,17-Nov-20,22,1,,2,GetApp,AUSTRALIA,,,
Omnify,Coaching,17-Nov-20,9,1,,2,Capterra,UNITED STATES,,,
Omnify,Fitness,17-Nov-20,15.67,3,,16,GetApp,UNITED STATES,,,
Omnify,Membership Management,17-Nov-20,30,1,,2,Capterra,AUSTRALIA,,,
Omnify,Parks and Recreation,17-Nov-20,1,1,,2,Capterra,CANADA,,,
Omnify,Personal Trainer,17-Nov-20,23,1,,2,GetApp,UNITED STATES,,,
Omnify,Reservations,17-Nov-20,18,1,,2,GetApp,AUSTRALIA,,,
Omnify,Reservations,17-Nov-20,7,1,,4.25,GetApp,UNITED STATES,,,
Omnify,Reservations,17-Nov-20,7,2,,21,Capterra,UNITED STATES,,,
Omnify,Reservations,17-Nov-20,21,1,,2,GetApp,UNITED KINGDOM,,,
Omnify,Reservations,17-Nov-20,1,2,,5,GetApp,SINGAPORE,,,
Omnify,Scheduling,17-Nov-20,33.5,2,,4.5,GetApp,UNITED STATES,,,
Omnify,Spa,17-Nov-20,33,1,,2,Capterra,UNITED STATES,,,
Omnify,Swim School,17-Nov-20,1,1,,2,GetApp,UNITED STATES,,,
Omnify,Venue Management,17-Nov-20,7,1,,2,Capterra,AUSTRALIA,,,
Omnify,Venue Management,17-Nov-20,7,1,,2,GetApp,UNITED KINGDOM,,,
Omnify,Venue Management,17-Nov-20,5,1,,6.75,Capterra,UNITED STATES,,,
Omnify,Club Management,18-Nov-20,25,1,,2,GetApp,UNITED KINGDOM,,,
Omnify,Fitness,18-Nov-20,1,2,,5.5,Capterra,SINGAPORE,,,
Omnify,Music School,18-Nov-20,6,2,,16,Capterra,UNITED STATES,,,
Omnify,Parks and Recreation,18-Nov-20,13,1,,2,GetApp,UNITED STATES,,,
Omnify,Personal Trainer,18-Nov-20,21,1,,2,GetApp,CANADA,,,
Omnify,Reservations,18-Nov-20,8,2,,21,Capterra,UNITED STATES,,,
Omnify,Scheduling,18-Nov-20,41,1,,2,GetApp,UNITED KINGDOM,,,
Omnify,Spa,18-Nov-20,13,1,,2,GetApp,UNITED KINGDOM,,,
Omnify,Swim School,18-Nov-20,6,1,,2,GetApp,UNITED KINGDOM,,,
Omnify,Yoga Studio,18-Nov-20,6,1,,10.75,Capterra,UNITED STATES,,,
Omnify,Class Registration,19-Nov-20,3,1,,2,Capterra,SINGAPORE,,,
